电影名,上映年份,上映日期,电影类型,电影评分,宣传语,电影导演,电影演员,电影时长
搏击俱乐部,1999,1999-11-11,"剧情,惊悚",84,搏击俱乐部的第一条规则是你不要谈论搏击俱乐部,大卫·芬奇,恰克·帕拉尼克,139
大卫·爱登堡：地球上的一段生命旅程,2020,2020-09-28,"纪录,剧情",84,简介,艾雷斯泰·法瑟吉尔,Keith Scholey,83
指环王1：护戒使者,2001,2002-01-31,"冒险,奇幻,动作",84,至尊戒，驭众戒！,彼得·杰克逊,J.R.R.托尔金,228
切腹,1962,1962-09-15,"动作,剧情,历史",84,男人的尊严，男人的挣扎。,小林正树,安彦滉,135
人类,2015,2015-09-12,纪录,84,简介,亚恩·阿蒂斯－贝特朗,,191
上帝之城,2002,2003-05-08,"剧情,犯罪",84,你若逃跑，野兽会抓住你；你若停留，野兽会吞噬你。,费尔南多·梅里尔斯,保罗·林斯,129
天堂电影院,1988,1990-01-18,"剧情,爱情",84,青春、友谊与电影永恒魅力的颂扬。,朱塞佩·托纳多雷,瓦娜·波利,124
指环王2：双塔奇兵,2002,2003-01-09,"冒险,奇幻,动作",84,一股新力量正在崛起！,彼得·杰克逊,J.R.R.托尔金,235
惊魂记,1960,1961-01-12,"恐怖,惊悚,悬疑",84,一种全新的、截然不同的银幕刺激！,阿尔弗雷德·希区柯克,罗伯特·布洛克,109
飞越疯人院,1975,1975-11-19,剧情,84,如果他疯了，那你怎么了？,米洛斯·福尔曼,肯·克西,133
蛊惑兄弟,2000,2000-09-15,"喜剧,剧情,奇幻,爱情",84,Lying with faith is not always a sin.,Guel Arraes,Ariano Suassuna,104
素媛,2013,2013-10-02,剧情,84,在最痛的地方，开出最美的花,李濬益,曹重勋,122
妙不可言,2021,2021-06-17,"家庭,剧情",84,There are encounters that change your life,Ernesto Contreras,Estéfani Enríquez Soto,88
蜘蛛侠：平行宇宙,2018,2018-12-13,"动画,动作,冒险,科幻",84,任何人都可以成为英雄。,罗德尼·罗斯曼,菲尔·洛德,116
星球大战5：帝国反击战,1980,1980-08-08,"冒险,动作,科幻",84,冒险在继续……,厄文·克什纳,劳伦斯·卡斯丹,124
惩罚者：最后一击,2026,2026-05-12,"动作,剧情,犯罪",84,Hey Frank.,雷纳尔多·马库斯·格林,杰瑞·康威,51
哈尔的移动城堡,2004,2005-03-24,"奇幻,动画,冒险",84,带着心爱的人在天空飞翔。,宫崎骏,戴安娜·温尼·琼斯,119
声之形,2016,2017-04-06,"动画,剧情,爱情",84,有时答案就是学会倾听，如此简单。,山田尚子,吉田玲子,130
加百列的地狱,2020,2020-05-29,"爱情,剧情",84,简介,Tosca Musk,Sylvain Reynard,122
七宗罪,1995,1995-11-30,"犯罪,悬疑,惊悚",84,每一桩命案，都对应一种原罪。,大卫·芬奇,安德鲁·凯文·沃克,127
美国往事,1984,1984-08-11,"剧情,犯罪",84,犯罪、激情与权力欲望。,赛尔乔·莱昂内,哈里·格雷,229
露西·希姆斯和和平王子,2020,2020-10-19,"剧情,家庭",84,简介,Rob Diamond,,87
爆裂鼓手,2014,2014-10-15,"剧情,音乐,惊悚",84,通往伟大的道路可能会将你带到边缘。,达米恩·查泽雷,,107
钢琴家,2002,2003-01-24,"剧情,战争",84,音乐是他的激情所在。生存则是他的杰作。,罗曼·波兰斯基,罗纳德·哈伍德,150
鱿鱼游戏： 第二季 制作特辑,2025,2025-01-03,纪录,84,简介,,,28
盗梦空间,2010,2010-07-29,"动作,科幻,冒险",84,你的梦境 就是 犯罪现场,克里斯托弗·诺兰,,148
电锯人剧场版：蕾塞篇,2025,2025-09-25,"动画,动作,爱情,奇幻",84,活出你的人生本色……并让它精彩纷呈。,吉原达矢,濑古浩司,100
天国与地狱,1963,1963-03-01,"剧情,犯罪,惊悚",84,剧情紧张激烈，几乎令人难以置信！,黑泽明,埃文·亨特,142
加百列的地狱：第二部,2020,2020-07-31,"爱情,剧情",83,简介,Tosca Musk,Sylvain Reynard,106
沉默的羔羊,1991,1991-05-10,"犯罪,惊悚,剧情",83,要进入杀手的头脑，她必须挑战疯子的头脑。,乔纳森·戴米,托马斯·哈里斯,119
后窗,1954,1955-06-30,"惊悚,悬疑,剧情",83,只需一个目击者，就能破坏这桩完美的犯罪。,阿尔弗雷德·希区柯克,约翰·迈克尔·海耶斯,112
加百列的地狱：第三部,2020,2020-11-19,"爱情,剧情",83,简介,Tosca Musk,Sylvain Reynard,122
蜘蛛侠：纵横宇宙,2023,2023-06-01,"动画,动作,冒险,科幻",83,每个人都说这是蜘蛛侠注定的命运，但我要找到属于自己的路。,肯普·鲍尔斯,乔伊姆·多斯·桑托斯,140
激进教学,2023,2023-10-19,剧情,83,Think for yourself.,Christopher Zalla,,122
美国X档案,1998,1998-10-30,剧情,83,Some legacies must end.,托尼·凯耶,大卫·麦肯纳,119
回到未来,1985,1985-12-14,"冒险,喜剧,科幻",83,他是唯一一个到出生前惹麻烦的孩子。,罗伯特·泽米吉斯,鲍勃·盖尔,116
防弹少年团：燃烧舞台电影版,2018,2018-11-15,"音乐,纪录",83,"From the deserts to the seas, we were always together.",Park Jun-soo,,85
幽灵公主,1997,1997-08-14,"冒险,奇幻,动画",83,世界的命运系于一位勇士的勇气之上。,宫崎骏,,134
音魂掠影,2022,2023-06-01,"纪录,音乐,历史",83,简介,朱塞佩·托纳多雷,,156
荒野机器人,2024,2024-09-17,"家庭,动画,科幻,冒险",83,发现你的本性,克里斯·桑德斯,,102
别假正经,1984,1984-10-19,"纪录,音乐",83,Why stop making sense? Why a movie? Why a big suit? Where do the odd movements come from? What will the band do next?,乔纳森·戴米,,88
生之欲,1952,1952-10-09,剧情,83,一个关于小人物的大故事，它将紧紧抓住你的灵魂……,黑泽明,小国英雄,143
未麻的部屋,1998,2021-08-18,"动画,惊悚",83,不好意思……请问你是？,今敏,竹内义和,82
死亡诗社,1989,1989-06-02,剧情,83,他是他们的灵感源泉。他让他们的生命变得非凡。,彼得·威尔,托马斯·舒尔曼,128
这个杀手不太冷,1994,1997-06-26,"犯罪,剧情,动作",83,想把事情办的漂亮，就得请专业的,吕克·贝松,,133
罗小黑战记,2019,2019-08-27,"动画,奇幻,动作",83,有你的地方 就是家,MTJJ,彭可欣,102
紫罗兰永恒花园 剧场版,2020,2020-10-22,"动画,剧情,奇幻,爱情",83,致我最心爱的人，这是我最后的书信。,石立太一,晓佳奈,140
献给我的前妻,2019,2019-11-08,"剧情,喜剧",83,简介,Jorge Ulloa,Julio Pañi,94
我们如此相爱,1974,1974-12-21,"剧情,喜剧",83,一件光彩夺目的事物。,埃托雷·斯科拉,富里奥·斯卡佩利,124
五等分的新娘 剧场版,2022,2022-10-06,"动画,喜剧,爱情",83,简介,神保昌登,大知庆一郎,136
生活多美好,1946,1946-12-20,"剧情,家庭,奇幻",83,这笑声多么美妙！这爱意多么动人！,弗兰克·卡普拉,弗朗西丝·古德里奇,131
带来灵魂：防弹少年团演唱会电影,2019,2019-08-07,"音乐,纪录",83,"Forever, we are young.",Park Jun-soo,,103
摩登时代,1936,1937-05-07,"喜剧,剧情,爱情",83,他是现代最伟大的艺人，举世无双！世上无人能像他那样，让你开怀大笑，又深深触动你的心弦……全世界都为他无价的才华而欢笑、流泪、激动不已！,查理·卓别林,,87
大独裁者,1940,1947-03-27,"喜剧,战争",83,再次——全世界都在嘲笑！,查理·卓别林,,125
日落大道,1950,1950-08-10,剧情,83,一个好莱坞故事。,比利·怀尔德,小D.M.马什曼,110
同级生,2016,2016-02-20,"爱情,动画",83,"Sincerely, Slowly, Falling in Love.",中村章子,中村明日美子,61
西部往事,1968,1969-09-25,"剧情,西部",83,她生命中有三个男人。一个带走了她，一个深爱着她，还有一个——最终杀死了她。,赛尔乔·莱昂内,塞尔吉奥·多纳蒂,166
从前有个工作室,2023,2023-10-16,"动画,家庭,奇幻,剧情,喜剧",83,100 years of Disney magic comes together.,Trent Correy,Dan Abraham,9
触不可及,2011,2012-09-06,"剧情,喜剧",83,Sometimes you have to reach into someone else's world to find out what's missing in your own.,奥利维埃·纳卡什,埃里克·托莱达诺,112
乔西的虎与鱼,2020,2020-12-25,"动画,剧情,爱情",83,Together they can fly.,田村耕太郎,桑村沙耶香,98
现代启示录,1979,1980-03-27,"剧情,战争",83,这就是终点...,弗朗西斯·科波拉,约翰·米利厄斯,202
从天而降,2019,2019-12-24,"喜剧,剧情,音乐",83,简介,Pepe Bojórquez,Alfredo Felix-Diaz,112
夜与雾,1956,1956-05-22,"纪录,历史",83,简介,阿伦·雷乃,让·凯罗尔,32
洞,1960,1960-03-18,"剧情,惊悚,犯罪",83,可怜的小加斯帕……,雅克·贝克,何塞·乔凡尼,132
光荣之路,1957,1957-12-20,"战争,剧情",83,一将功成万骨枯,斯坦利·库布里克,汉弗莱·科布,87
狮子王,1994,1994-07-08,"动画,家庭,剧情",83,最伟大的冒险，莫过于在生命的轮回中找到属于自己的位置。,罗杰·艾勒斯,罗布·明科夫,89
萤火之森,2011,2011-09-17,"爱情,动画,奇幻",83,我已经等不到夏天了,大森贵弘,,44
迈克尔·杰克逊：颤栗,1983,1983-11-21,"恐怖,惊悚,音乐",83,简介,约翰·兰迪斯,迈克尔·杰克逊,14
新世纪福音战士剧场版：Air / 真心为你,1997,1997-07-19,"动画,科幻,剧情,奇幻",83,毁灭的命运亦是重生的喜悦。,庵野秀明,鹤卷和哉,87
城市之光,1931,1931-03-07,"喜剧,剧情,爱情",83,真爱盲目。,查理·卓别林,哈里·克罗克,87
七号房的礼物,2019,2019-10-11,剧情,83,简介,Mehmet Ada Öztekin,Kubilay Tat,132
牯岭街少年杀人事件,1991,1991-07-27,"犯罪,剧情,爱情",83,简介,杨德昌,赖铭堂,237
妥瑞氏与我,2025,2025-09-22,"剧情,历史",82,I blink. I twitch. I jump. I click. I whistle. I shout.,柯克·琼斯,,121
黑客帝国,1999,1999-05-20,"动作,科幻",82,欢迎来到现实世界,拉娜·沃卓斯基,莉莉·沃卓斯基,136
边境奇袭,2025,2025-02-28,"动作,冒险,惊悚",82,简介,Chava Cartas,José Rubén Escalante Méndez,85
